storeName,latitude,longitude
Patna Rajendra Nagar,25.60650413,85.16257045
Ghaziabad Raj Nagar,28.69669703,77.42853359
Dummy Store --- For Testing Only,28.61498952,77.37036025
Patna Bailey Road,25.61739807,85.07490103
Rohini Sector 16,28.73854785,77.12459349
Bhopal Chunabhatti,23.19992368,77.41667611
Hanumangarh City Center,29.59616134,74.31134717
Uttam Nagar,28.62412582,77.06305204
Mukherjee Nagar,28.71378913,77.2160425
Vijay Nagar,28.69218935,77.20096551
Patiala City Center,30.34298857,76.37868582
Sonipat GT Road,28.9565328,77.09350478
Jaipur Pratap Nagar,26.80899534,75.82605136
Jaipur Vaishali ,26.91466444,75.74008187
Bathinda Adesh Hospital,30.22305577,75.05827097
Dwarka 1,28.61950629,77.0313414
Rohini Mangolpur,28.69958966,77.09541192
South Campus,28.58783697,77.16710305
West Patel Nagar,28.64992076,77.16305658
Ahmedabad SKY City,23.00503151,72.46744739
Shakurpur ,28.68390777,77.13402099
Dilshad Garden,28.67855434,77.31411196
Bhopal Lakherapura ,23.25811038,77.40161318
Ajmer Neeti Marg,26.46894621,74.64043547
Meerut Kidwai Nagar,28.96275165,77.7162595
Laxmi Nagar,28.63762951,77.2847221
Subhash Nagar,28.63955007,77.10369136
Sant Nagar Burari ,28.74045592,77.19785789
Mother Dairy Road,28.62772199,77.27951919
Dwarka 12,28.61946947,77.03142872
Hyderabad MJ Center ,17.48604982,78.3587712
Noida Sector 41,28.56116946,77.36554225
Chandigarh Sector 36,30.73720276,76.75550825
Bareilly Rajendra Nagar,28.38468007,79.43337284
Janakpuri Block B,28.62242596,77.08488008
Jasola IOCL,28.53799604,77.29006144
Jaipur Malviya Nagar,26.85153115,75.80522163
Udaipur New Bhopalpura,24.59974306,73.70610984
Jabalpur Napier Town,23.16071157,79.9229145
Jaipur Mansarovar,26.84682715,75.7657837
Mohali Sec 127,30.73097659,76.64910127
Cantonment Road,28.60848846,77.10353069
Yamuna Nagar Sec 17,30.14641667,77.292732
Dayanand Colony,28.56094628,77.24585693
Varanasi Mahmoorganj,25.30573456,82.98108319
East Of Kailash ,28.55985336,77.25698582
Janakpuri Block A,28.62212865,77.08489982
Gwalior Patel Nagar,26.20900546,78.19141362
Model Town - Ludhiana,30.89058842,75.82935252
Gurugram Sector 48,28.40683619,77.04109894
Uat Test,28.74227405,77.30144747
